time,close,high,low,open,volumefrom,volumeto
1449705600,432.29,467.71,403.69,416,458160.84,198066829.06
1449964800,462.65,464.23,420.76,432.29,390127.67,173879047.39
1450224000,463.18,466.12,437.37,462.65,333206.06,152105704.52
1450483200,437.59,465.99,423.99,463.18,304831.93,135914600.7
1450742400,452.98,460.62,433.25,437.59,208636.59,92819547.64
1451001600,422.39,457.44,400.45,452.98,318555,136076033.05
1451260800,427.15,435.04,417.14,422.39,207260.71,88431501.92
1451520000,433.72,437.95,417.14,427.15,145756.98,62659386.26
1451779200,431.2,435.26,423.09,433.72,152864,65933719.82
1452038400,452.87,462.92,425,431.2,264934.08,118549975.02
1452297600,447.72,454.55,438.62,452.87,140854.63,63104051.46
1452556800,429.13,448.41,420.39,447.72,182798.5,79387326.57
1452816000,382.47,430.15,350.39,429.13,518193.1,200822101.44
1453075200,414.58,425.72,373.21,382.47,325963.51,128838259.93
1453334400,388.61,423.42,374.9,414.58,296178.33,117722266.02
1453593600,389.78,405.4,385.53,388.61,188999.91,74947974.8
1453852800,380.29,397.37,363.49,389.78,259454.08,98941972.25
1454112000,372.18,381.75,365.27,380.29,149545.32,56167601.5
1454371200,390.65,391.83,366.2,372.18,212662.82,80351840.11
1454630400,377.94,391.15,372.87,390.65,180510.62,68885243.22
1454889600,381.88,385.38,371.42,377.94,215082.93,81363554.95
1455148800,390.1,392.57,372.75,381.88,164571.06,63301277.12
1455408000,406.42,410.85,390.06,390.1,228047.24,92031828.53
1455667200,419.98,425.51,405.05,406.42,219909.7,92092275.31
1455926400,437.79,447.61,419.49,419.98,268136.01,117185062.83
1456185600,423.48,440.76,410.36,437.79,213765.91,90649005.55
1456444800,432.47,435.62,419.11,423.48,146851.74,63061541.69
1456704000,425.36,441.32,423.85,432.47,193979.66,84284302.25
1456963200,399,425.83,386.93,425.36,283319.21,116331298.46
1457222400,411.9,416.72,393.09,399,178137.79,72878602.17
1457481600,419.11,422.4,408.94,411.9,167287.66,69619846.92
1457740800,414.31,420.67,407.03,419.11,143946.12,59589339.36
1458000000,418.16,419.56,412.31,414.31,136952.53,57146905.74
1458259200,411.53,418.58,402.13,418.16,133608.78,54840343.62
1458518400,416.98,419.58,407.25,411.53,132839.42,55107072.1
1458777600,416.51,417.71,412.41,416.98,101473.22,42338179.67
1459036800,415,427.36,406.36,416.51,174282.19,73313757.55
1459296000,415.64,417.16,408.4,415,123342.12,51150576.81
1459555200,419.33,420.39,415.09,415.64,87544.31,36760494.36
1459814400,420.14,423.67,417.94,419.33,109611,46297619.16
1460073600,420.25,423.51,412.39,420.14,99672.08,41909046.99
1460332800,423.47,426.69,418.11,420.25,132187.83,56138492.61
1460592000,430.05,432,421.84,423.47,113805.56,48770796.42
1460851200,434.92,436.07,423.79,430.05,103836.97,44645859.5
1461110400,445.28,450.8,432.51,434.92,187199.66,83049347.37
1461369600,461.73,466.23,443.07,445.28,198449.08,90597165.7
1461628800,448.48,468.86,433.9,461.73,240298.75,109360712.29
1461888000,452.24,456.86,445.22,448.48,101904.71,46098058.22
1462147200,445.8,453.87,440.21,452.24,163045.16,72831875.14
1462406400,458.46,461.48,444.35,445.8,141288.25,64135679.42
1462665600,449.36,464.18,446.81,458.46,136011.71,62259550.37
1462924800,455.41,457.22,448.4,449.36,121541.98,55158924.88
1463184000,454.87,460.28,450.73,455.41,78158.62,35796392.82
1463443200,442.66,456.65,441.12,454.87,126620.39,57252470.79
1463702400,439.62,447.76,435.42,442.66,100170.36,44320244.69
1463961600,449.78,451.21,438.24,439.62,106828.14,47677710.88
1464220800,524.22,531.76,447.67,449.78,323562.51,156389025.68
1464480000,528.92,548.04,493.22,524.22,344178.68,183082878.45
1464739200,567.03,573.72,521.3,528.92,231534.7,126587670.44
1464998400,583.58,592.68,560.87,567.03,215614.49,124718598.08
1465257600,574.69,591.32,543.63,583.58,182911.76,105799264.93
1465516800,666.55,683.85,571.14,574.69,305098.41,190765938.21
1465776000,690.77,718.24,652.78,666.55,431001.08,295764466.87
1466035200,753.77,776.04,687.43,690.77,565964.95,421064001.13
